,match_id,chat,toxicity,toxicity_context,estimated_rank_universal,duration,game_mode_str,radiant_score,dire_score,radiant_win,start_time,region_str,lobby_type_str,account_id,player_slot,name,rating,rank_universal,party_size,hero_id,is_radiant,winner,kills_per_minute,deaths_per_minutes,assists,gold_per_minute,hero_healing_per_minute,pings,buyback_count_per_minute,buyback_before_20
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,145490811,0,Firefirefire,,,1,6,True,1,0.44745762711864406,0.08135593220338982,0.7728813559322034,178.25084745762712,0.0,3,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,235167133,1,l3E2T,,,1,39,True,1,0.2440677966101695,0.2440677966101695,1.0576271186440678,59.349152542372885,0.0,3,0.0,False
0,8507501759,gg end ty gg,0.5664873123168945,0.5664873123168945,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,180409831,2,Zayn,,15,1,14,True,1,0.6508474576271186,0.3254237288135593,1.0576271186440678,46.983050847457626,0.0,3,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,306315934,3,KAKASHI!!!,,,1,31,True,1,0.44745762711864406,0.3254237288135593,1.0983050847457627,66.95593220338984,0.0,4,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,189167443,4,NNJA,,19,1,136,True,1,0.6915254237288135,0.2033898305084746,0.6508474576271186,304.6372881355932,3.864406779661017,9,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,179848072,5,BOT JOKER,,13,1,74,False,0,0.488135593220339,0.2033898305084746,0.3254237288135593,141.19322033898305,0.0,2,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,294122529,6,~ butters ~,,,1,75,False,0,0.12203389830508475,0.6915254237288135,0.7322033898305085,197.41016949152544,0.0,8,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,203597792,7,NOT PURE,,17,1,57,False,0,0.12203389830508475,0.7322033898305085,0.6101694915254238,33.68135593220339,42.91525423728814,24,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,128513333,8,手起刀落人抬走,,18,1,93,False,0,0.3254237288135593,0.5288135593220339,0.2440677966101695,93.23389830508475,0.0,5,0.0,False
0,8507501759,,,,16,1475,game_mode_turbo,62,29,True,1760259706,SINGAPORE,lobby_type_normal,472155304,9,Vortice,,,1,71,False,0,0.08135593220338982,0.36610169491525424,0.44745762711864406,43.81016949152542,0.0,4,0.0,False
0,8507501624,geegee. 2 fucking cry babies,0.997600257396698,0.997600257396698,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,233742746,0,NiceNiceNice,,32,1,16,True,1,0.15037593984962405,0.08592910848549946,0.6229860365198711,148.85069817400645,0.0,47,0.0,False
0,8507501624,Oh nooo. umiiyak nga rubick naion. XD,0.11399509012699127,0.11399509012699127,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,221433421,1,upper moon 1,,33,1,6,True,1,0.3651987110633727,0.08592910848549946,0.23630504833512353,107.11063372717508,0.0,18,0.0,False
0,8507501624,best es. xd. dis help top bro. more who call ? pango ?. axaxax xaxaxa. 100000$ echo slam . everytime trash carry. 3k game. always trash  casrry here drow  just . lucky kid he my team . 2 trash bot lose. game. tiny and drow. lane we lose and i helo  lane  dog trash  2 noob. drow solo top. go kill himn. lol he dream . loser bot drow and tiny. luck drow,0.27240678668022156,0.27240678668022156,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,421673414,2,424,,32,1,86,True,1,0.2577873254564984,0.10741138560687433,0.40816326530612246,76.75617615467239,58.818474758324385,59,0.0,False
0,8507501624,where is jugg. ez bot btw. ez game,0.8274215459823608,0.8274215459823608,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,1507362067,3,carry me !,,,1,19,True,1,0.0644468313641246,0.15037593984962405,0.5155746509129968,8.16326530612245,0.0,8,0.0,False
0,8507501624,same lang naman kayo. iyak. durog sa mid haha. LT. nagtawag e Hahaah. haha zeus na yan HAha. counter Haha. bobo kalang talaga. ikaw ang tanga baog. 42 mins yan item. HAha. aminadong tanga HAha. maninisi pa ng carry e sya yung tanga haha,0.5857734680175781,0.3677162826061249,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,163804117,4,KAMPANERANG KUPAL,,31,1,35,True,1,0.3007518796992481,0.15037593984962405,0.2577873254564984,20.150375939849624,0.0,12,0.0,False
0,8507501624,,,,32,2793,game_mode_all_draft,53,26,True,1760259701,SINGAPORE,lobby_type_ranked,1033194846,5,Ari Lesmana,,36,1,120,False,0,0.08592910848549946,0.27926960257787325,0.1288936627282492,12.287862513426424,0.0,3,0.021482277121374866,False
