,match_id,chat,toxicity,toxicity_context,estimated_rank_universal,duration,game_mode_str,radiant_score,dire_score,radiant_win,start_time,region_str,lobby_type_str,account_id,player_slot,name,rating,rank_universal,party_size,hero_id,is_radiant,winner,kills_per_minute,deaths_per_minutes,assists,gold_per_minute,hero_healing_per_minute,pings,buyback_count_per_minute,buyback_before_20
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,152904194,0,Let go,,26.0,3,94,True,1,0.1785714285714285,0.0595238095238095,0.3571428571428571,76.36904761904762,0.0,1.0,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,1038615905,1,Luboo,,,3,97,True,1,0.0,0.119047619047619,0.5357142857142857,83.63095238095238,0.0,,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,100795581,2,tumShum,,34.0,3,35,True,1,0.1785714285714285,0.0,0.5357142857142857,50.29761904761905,0.0,2.0,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,415640007,3,gG,,,1,62,True,1,0.238095238095238,0.0,0.3571428571428571,89.88095238095238,0.0,20.0,0.0,False
0,8507573670,where are you guys. lkopl,0.1385132819414138,0.0072796158492565,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,75121256,4,NUBLAN.THE.FUCKER,,40.0,1,40,True,1,0.4761904761904761,0.119047619047619,0.238095238095238,76.9047619047619,0.0,3.0,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,114315642,5,JcZero,,40.0,1,135,False,0,0.0595238095238095,0.119047619047619,0.119047619047619,41.13095238095238,26.071428571428573,,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,127684259,6,protato,,,3,11,False,0,0.0595238095238095,0.238095238095238,0.0,29.52380952380953,0.0,,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,376285582,7,Fearmemeow,,23.0,3,30,False,0,0.0595238095238095,0.3571428571428571,0.1785714285714285,45.0,75.6547619047619,4.0,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,134016282,8,Booyah,,,3,114,False,0,0.0595238095238095,0.1785714285714285,0.119047619047619,76.96428571428571,0.0,,0.0,False
0,8507573670,,,,32.0,1008,game_mode_turbo,18,5,True,1760262822,SINGAPORE,lobby_type_normal,426425986,9,brujas,,31.0,1,101,False,0,0.0595238095238095,0.238095238095238,0.0595238095238095,121.60714285714286,0.0,4.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1435979094,0,le Roi noir,,,2,128,True,0,0.11090573012939,0.5545286506469501,0.6654343807763401,33.160813308687615,6.931608133086876,9.0,0.055452865064695,True
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,343306434,1,molodoii2,,16.0,2,14,True,0,0.22181146025878,0.5545286506469501,0.5545286506469501,0.166358595194085,13.863216266173753,2.0,0.0,False
0,8507572415,не надо,0.0152097893878817,0.0152097893878817,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1096157819,2,akiyama,,,3,11,True,0,0.22181146025878,0.499075785582255,0.388170055452865,0.166358595194085,0.0,2.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1140436810,3,synofkotar,,23.0,3,129,True,0,0.22181146025878,0.166358595194085,0.33271719038817,0.166358595194085,0.0,,0.0,False
0,8507572415,не надо папа. всм. мне быстрее надо. турик шаражный. анлак,0.9606633186340332,0.9606633186340332,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1465987186,4,qoobik,,21.0,3,109,True,0,0.33271719038817,0.499075785582255,0.166358595194085,228.24399260628465,0.0,2.0,0.0,False
0,8507572415,хахаххахаах. меня крип запер. парни. вы сильно не потейте. а то мне прилется на мышке инрать. а не на тачпаде. тб легенла. не ждет пуджа. мама кушать зовет?. ооо. я играл с шарагой. мы отсосали. я не верю что у первокурсников 12к ммр. ну гг. гг спс за игру. ). gege,0.2979296147823334,0.2979296147823334,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1639518539,5,snow6x,,13.0,1,91,False,1,0.22181146025878,0.22181146025878,1.1645101663585953,120.1109057301294,645.8595194085028,13.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,187443579,6,Rapir,,13.0,4,75,False,1,0.166358595194085,0.277264325323475,1.3863216266173752,86.00739371534196,0.0,7.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,236912861,7,....,,12.0,4,96,False,1,0.609981515711645,0.277264325323475,0.7763401109057301,203.2347504621072,0.0,2.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,824536943,8,LYKER,,,4,21,False,1,0.7763401109057301,0.33271719038817,0.7208872458410351,351.3493530499076,0.0,5.0,0.0,False
0,8507572415,,,,16.0,1082,game_mode_turbo,22,41,False,1760262767,STOCKHOLM,lobby_type_normal,1600240786,9,П.А.П.А.Ш.А,,,4,86,False,1,0.388170055452865,0.11090573012939,1.0536044362292052,184.04805914972275,0.0,1.0,0.0,False
